==8123== NVPROF is profiling process 8123, command: ./main
==8123== Profiling application: ./main
==8123== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.00%  94.494us         4  23.623us  6.2080us  41.407us  void gen_sequenced<curandStateXORWOW, float, int, __operator_&__(float curand_uniform_noargs<curandStateXORWOW>(curandStateXORWOW*, int))>(curandStateXORWOW*, float*, unsigned long, unsigned long, int)
  0.00%  79.327us         2  39.663us  39.071us  40.256us  void thrust::system::cuda::detail::detail::launch_closure_by_value<thrust::system::cuda::detail::for_each_n_detail::for_each_n_closure<thrust::device_ptr<double*>, unsigned int, thrust::detail::device_generate_functor<thrust::detail::fill_functor<double*>>, thrust::system::cuda::detail::detail::blocked_thread_array>>(double*)
  0.00%  68.510us         1  68.510us  68.510us  68.510us  _kernel_synapses_group_variable_set_conditional_codeobject_2(unsigned int, double*, int, long)
  0.00%  22.239us         1  22.239us  22.239us  22.239us  synapses_pre_init(unsigned int, unsigned int, double*, int*, int*, double, int, int)
  0.00%  5.2150us         1  5.2150us  5.2150us  5.2150us  _kernel_neurongroup_group_variable_set_conditional_codeobject(unsigned int, double*, float*, char*)
  0.00%  4.9600us         1  4.9600us  4.9600us  4.9600us  _kernel_neurongroup_group_variable_set_conditional_codeobject_1(unsigned int, double*, float*, char*)

==8123== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 45.50%  11.9634s    410143  29.168us     285ns  23.597ms  cudaMemcpy
 30.03%  7.89619s    220018  35.888us  3.9570us  2.0199ms  cudaThreadSynchronize
 11.71%  3.07776s    320031  9.6170us  6.2380us  20.374ms  cudaLaunch
  8.56%  2.25148s    180096  12.501us  6.9400us  1.0244ms  cudaMalloc
  1.98%  520.10ms         1  520.10ms  520.10ms  520.10ms  cudaDeviceSetLimit
  0.99%  260.06ms    650023     400ns     307ns  299.84us  cudaGetDevice
  0.66%  172.59ms    800104     215ns     150ns  315.16us  cudaSetupArgument
  0.33%  86.858ms    320031     271ns     209ns  296.34us  cudaConfigureCall
  0.21%  55.186ms        84  656.98us     850ns  9.6473ms  cudaFree
  0.02%  5.6079ms     20020     280ns     156ns  1.7430us  cudaGetLastError
  0.01%  2.8687ms        13  220.67us  210.52us  240.93us  cudaGetDeviceProperties
  0.00%  596.42us       166  3.5920us     175ns  154.46us  cuDeviceGetAttribute
  0.00%  586.46us         5  117.29us  20.693us  160.48us  cudaMemcpyToSymbol
  0.00%  85.639us         2  42.819us  35.281us  50.358us  cuDeviceTotalMem
  0.00%  69.602us         2  34.801us  28.410us  41.192us  cuDeviceGetName
  0.00%  13.396us         3  4.4650us  3.3010us  5.9960us  cudaFuncGetAttributes
  0.00%  6.3760us         1  6.3760us  6.3760us  6.3760us  cudaDeviceSynchronize
  0.00%  2.2650us         3     755ns     220ns  1.3640us  cuDeviceGetCount
  0.00%  1.4240us         3     474ns     310ns     578ns  cuDeviceGet
  0.00%     757ns         1     757ns     757ns     757ns  cuInit
  0.00%     463ns         1     463ns     463ns     463ns  cuDriverGetVersion
