==20956== NVPROF is profiling process 20956, command: ./main
==20956== Profiling application: ./main
==20956== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.00%  346.49us         1  346.49us  346.49us  346.49us  _run_synapses_post_initialise_queue_kernel(unsigned int, unsigned int, unsigned int, double, unsigned int, unsigned int)
  0.00%  184.06us        54  3.4080us  2.3030us  14.847us  [CUDA memcpy DtoD]
  0.00%  63.134us         1  63.134us  63.134us  63.134us  synapses_post_destroy(void)
  0.00%  59.230us         1  59.230us  59.230us  59.230us  synapses_pre_destroy(void)
  0.00%  15.967us         1  15.967us  15.967us  15.967us  synapses_post_init(unsigned int, unsigned int, double*, int*, int*, double, int, int)
  0.00%  13.312us         1  13.312us  13.312us  13.312us  synapses_pre_init(unsigned int, unsigned int, double*, int*, int*, double, int, int)
  0.00%  2.3360us         1  2.3360us  2.3360us  2.3360us  _kernel_synapses_group_variable_set_conditional_codeobject(unsigned int, float*, long, double*, int)
  0.00%  2.3360us         2  1.1680us     960ns  1.3760us  void thrust::system::cuda::detail::detail::launch_closure_by_value<thrust::system::cuda::detail::for_each_n_detail::for_each_n_closure<thrust::device_ptr<double*>, unsigned int, thrust::detail::device_generate_functor<thrust::detail::fill_functor<double*>>, thrust::system::cuda::detail::detail::blocked_thread_array>>(double*)
  0.00%  1.3120us         1  1.3120us  1.3120us  1.3120us  _kernel_poissongroup_group_variable_set_conditional_codeobject(unsigned int, double*)
  0.00%  1.2480us         1  1.2480us  1.2480us  1.2480us  _kernel_synapses_group_variable_set_conditional_codeobject_1(unsigned int, double*, int, long)

==20956== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 54.03%  14.4930s   1798731  8.0570us  6.8660us  19.621ms  cudaLaunch
 31.01%  8.31904s    501890  16.575us     286ns  31.359ms  cudaMemcpy
  7.05%  1.89198s   7698779     245ns     192ns  587.44us  cudaSetupArgument
  2.56%  687.35ms         1  687.35ms  687.35ms  687.35ms  cudaDeviceSetLimit
  2.40%  644.42ms   1096128     587ns     483ns  547.20us  cudaGetDevice
  1.93%  518.16ms   1798731     288ns     221ns  549.05us  cudaConfigureCall
  0.69%  184.08ms        87  2.1158ms     886ns  161.75ms  cudaFree
  0.21%  55.395ms    200008     276ns     224ns  494.63us  cudaGetLastError
  0.11%  29.775ms      3123  9.5330us  4.2140us  279.62us  cudaMalloc
  0.00%  375.17us       166  2.2600us     217ns  81.931us  cuDeviceGetAttribute
  0.00%  184.02us         7  26.288us  17.707us  38.574us  cudaGetDeviceProperties
  0.00%  122.78us         9  13.642us  5.8130us  40.100us  cudaMemcpyToSymbol
  0.00%  62.628us         2  31.314us  29.119us  33.509us  cuDeviceTotalMem
  0.00%  55.212us         2  27.606us  25.246us  29.966us  cuDeviceGetName
  0.00%  13.323us         3  4.4410us  3.7090us  4.9010us  cudaFuncGetAttributes
  0.00%  12.996us         2  6.4980us  5.4670us  7.5290us  cudaThreadSynchronize
  0.00%  4.7040us         1  4.7040us  4.7040us  4.7040us  cudaDeviceSynchronize
  0.00%  1.9710us         3     657ns     283ns  1.3290us  cuDeviceGetCount
  0.00%  1.1030us         3     367ns     250ns     496ns  cuDeviceGet
  0.00%     865ns         1     865ns     865ns     865ns  cuInit
  0.00%     462ns         1     462ns     462ns     462ns  cuDriverGetVersion

