==20840== NVPROF is profiling process 20840, command: ./main
==20840== Profiling application: ./main
==20840== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.00%  203.39us         5  40.677us  40.511us  40.895us  void thrust::system::cuda::detail::detail::launch_closure_by_value<thrust::system::cuda::detail::for_each_n_detail::for_each_n_closure<thrust::device_ptr<double*>, unsigned int, thrust::detail::device_generate_functor<thrust::detail::fill_functor<double*>>, thrust::system::cuda::detail::detail::blocked_thread_array>>(double*)
  0.00%  200.99us        54  3.7220us  3.2640us  5.3110us  [CUDA memcpy DtoD]
  0.00%  69.567us         2  34.783us  33.312us  36.255us  void thrust::system::cuda::detail::detail::launch_closure_by_value<thrust::system::cuda::detail::for_each_n_detail::for_each_n_closure<thrust::device_ptr<__int64>, unsigned int, thrust::detail::device_generate_functor<thrust::detail::fill_functor<__int64>>, thrust::system::cuda::detail::detail::blocked_thread_array>>(__int64)
  0.00%  43.870us        27  1.6240us     960ns  3.1680us  [CUDA memcpy HtoD]
  0.00%  6.1440us         1  6.1440us  6.1440us  6.1440us  void gen_sequenced<curandStateXORWOW, float, int, __operator_&__(float curand_uniform_noargs<curandStateXORWOW>(curandStateXORWOW*, int))>(curandStateXORWOW*, float*, unsigned long, unsigned long, int)
  0.00%  4.6400us         1  4.6400us  4.6400us  4.6400us  _kernel_neurongroup_group_variable_set_conditional_codeobject(unsigned int, float*, double*, char*)
  0.00%  3.1040us         1  3.1040us  3.1040us  3.1040us  _kernel_synapses_group_variable_set_conditional_codeobject(unsigned int, double*, int, long)

==20840== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 61.25%  20.3190s     20000  1.0160ms  24.865us  1.5678ms  cudaMemcpyFromSymbol
 20.16%  6.68651s         1  6.68651s  6.68651s  6.68651s  cudaDeviceSetLimit
 12.14%  4.02704s    303707  13.259us  6.4690us  17.594ms  cudaLaunch
  4.58%  1.51840s     43703  34.743us  3.8580us  1.1959ms  cudaThreadSynchronize
  1.09%  363.15ms   1543731     235ns     151ns  863.25us  cudaSetupArgument
  0.33%  110.33ms    303707     363ns     193ns  655.17us  cudaConfigureCall
  0.20%  65.207ms     91081     715ns     305ns  346.29us  cudaGetDevice
  0.09%  28.770ms     43850     656ns     263ns  763.50us  cudaMemcpy
  0.08%  27.565ms        92  299.62us     873ns  9.1128ms  cudaFree
  0.06%  21.181ms     40008     529ns     161ns  593.49us  cudaGetLastError
  0.01%  2.2264ms        99  22.488us  5.3420us  245.02us  cudaMalloc
  0.00%  1.5275ms         7  218.21us  207.81us  229.30us  cudaGetDeviceProperties
  0.00%  492.40us       166  2.9660us     164ns  117.28us  cuDeviceGetAttribute
  0.00%  71.338us         2  35.669us  32.383us  38.955us  cuDeviceTotalMem
  0.00%  57.346us         2  28.673us  27.075us  30.271us  cuDeviceGetName
  0.00%  20.344us         1  20.344us  20.344us  20.344us  cudaMemcpyToSymbol
  0.00%  19.999us         4  4.9990us  3.0930us  8.0020us  cudaFuncGetAttributes
  0.00%  5.6100us         1  5.6100us  5.6100us  5.6100us  cudaDeviceSynchronize
  0.00%  1.4600us         3     486ns     203ns     872ns  cuDeviceGetCount
  0.00%     809ns         3     269ns     211ns     300ns  cuDeviceGet
  0.00%     653ns         1     653ns     653ns     653ns  cuInit
  0.00%     387ns         1     387ns     387ns     387ns  cuDriverGetVersion
